2,Amravati,Amravati 77 Semi_critical Amravati Amravati 77 Safe,Improved
"",,Dhamangaon Dhamangaon,
3,Amravati,74 Semi_critical Amravati 74 Safe,Improved
"",,Railway Railway,
4,Amravati,Morshi 101 Over_exploited Amravati Morshi 101 Semi_critical,Improved
5,Aurangabad,Gangapur 71 Semi_critical Aurangabad Gangapur 71 Safe,Improved
6,Aurangabad,Khuldabad 72 Semi_critical Aurangabad Khuldabad 72 Safe,Improved
7,Aurangabad,Paithan 72 Semi_critical Aurangabad Paithan 72 Safe,Improved
8,Aurangabad,Sillod 71 Semi_critical Aurangabad Sillod 71 Safe,Improved
9,Aurangabad,Vaijapur 78 Semi_critical Aurangabad Vaijapur 78 Safe,Improved
10,Aurangabad,Aurangabad 73 Semi_critical Aurangabad Aurangabad 73 Safe,Improved
"",,Deulgaon Semi_critical Deulgaon,
11,Buldhana,77 Buldhana 77 Safe,Improved
"",,Raja Raja,
12,Buldhana,Malakapur 75 Semi_critical Buldhana Malakapur 75 Safe,Improved
13,Buldhana,Motala 79 Semi_critical Buldhana Motala 79 Safe,Improved
"",,Sindkhed  Semi_critical Sindkhed,
14,Buldhana,74 Buldhana 74 Safe,Improved
"",,Raja Raja,
15,Latur,Latur 71 Semi_critical Latur Latur 71 Safe,Improved
16,Nagpur,Katol 71 Semi_critical Nagpur Katol 71 Safe,Improved
17,Nashik,Deola 91 Critical Nashik Deola 91 Semi_critical,Improved
18,Osmanabad,Kalamb 71 Semi_critical Osmanabad Kalamb 71 safe,Improved
19,Osmanabad,Osmanabad 75 Semi_critical Osmanabad Osmanabad 75 safe,Improved
20,Pune,Baramati 80 Semi_critical Pune Baramati 80 safe,Improved
21,Pune,Indapur 71 Semi_critical Pune Indapur 71 safe,Improved
22,Pune,Purandhar 85 Semi_critical Pune Purandhar 85 safe,Improved
